customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered,issue_resolved_bin,complaint_registered_bin,review_text_clean,sentiment_score_label,response_time_bucket
1,male,60+,north,automobile,online,flipkart,1,very disappointed with the quality.,negative,46,yes,yes,1,1,very disappointed with the quality,-1,24-48h
2,other,46-60,central,books,online,swiggy instamart,5,fast delivery and great packaging.,positive,5,yes,no,1,0,fast delivery and great packaging,1,<12h
3,female,36-45,east,sports,online,facebook marketplace,1,very disappointed with the quality.,negative,38,yes,yes,1,1,very disappointed with the quality,-1,24-48h
4,female,18-25,central,groceries,online,zepto,2,product stopped working after few days.,negative,16,yes,yes,1,1,product stopped working after few days,-1,12-24h
5,female,18-25,east,electronics,online,croma,3,neutral about the quality.,neutral,15,yes,no,1,0,neutral about the quality,0,12-24h
6,other,26-35,central,sports,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,10,yes,no,1,0,amazing experience highly recommend,1,<12h
7,male,36-45,south,travel,online,amazon,4,great value for money.,positive,38,yes,no,1,0,great value for money,1,24-48h
8,other,60+,east,fashion,online,swiggy instamart,5,excellent product! exceeded expectations.,positive,53,no,no,0,0,excellent product exceeded expectations,1,>48h
9,male,18-25,south,home & kitchen,online,shopclues,3,"product is okay, nothing special.",neutral,7,yes,no,1,0,product is okay nothing special,0,<12h
10,male,36-45,east,beauty,online,croma,5,great value for money.,positive,56,no,no,0,0,great value for money,1,>48h
11,female,26-35,south,beauty,online,zepto,2,not worth the price.,negative,69,no,yes,0,1,not worth the price,-1,>48h
12,other,18-25,east,groceries,online,swiggy instamart,1,very disappointed with the quality.,negative,70,no,yes,0,1,very disappointed with the quality,-1,>48h
13,other,46-60,central,fashion,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,48,no,no,0,0,amazing experience highly recommend,1,24-48h
14,other,46-60,north,beauty,online,tata cliq,4,"amazing experience, highly recommend!",positive,55,no,no,0,0,amazing experience highly recommend,1,>48h
15,other,60+,west,beauty,online,snapdeal,1,customer service was unhelpful.,negative,4,yes,yes,1,1,customer service was unhelpful,-1,<12h
16,other,36-45,central,fashion,online,paytm mall,2,product stopped working after few days.,negative,56,no,yes,0,1,product stopped working after few days,-1,>48h
17,female,26-35,north,sports,online,tata cliq,1,late delivery and poor packaging.,negative,44,yes,yes,1,1,late delivery and poor packaging,-1,24-48h
18,male,60+,west,books,online,ajio,3,neutral about the quality.,neutral,32,yes,no,1,0,neutral about the quality,0,24-48h
19,other,26-35,east,electronics,online,myntra,4,excellent product! exceeded expectations.,positive,61,no,no,0,0,excellent product exceeded expectations,1,>48h
20,female,46-60,west,electronics,online,facebook marketplace,1,late delivery and poor packaging.,negative,11,yes,yes,1,1,late delivery and poor packaging,-1,<12h
21,female,60+,south,sports,online,nykaa,5,"amazing experience, highly recommend!",positive,51,no,no,0,0,amazing experience highly recommend,1,>48h
22,female,18-25,south,books,online,reliance digital,5,excellent product! exceeded expectations.,positive,31,yes,no,1,0,excellent product exceeded expectations,1,24-48h
23,male,60+,south,electronics,online,zepto,4,"amazing experience, highly recommend!",positive,59,no,no,0,0,amazing experience highly recommend,1,>48h
24,other,26-35,north,travel,online,meesho,2,customer service was unhelpful.,negative,8,yes,yes,1,1,customer service was unhelpful,-1,<12h
25,other,36-45,east,beauty,online,nykaa,2,very disappointed with the quality.,negative,12,yes,yes,1,1,very disappointed with the quality,-1,<12h
26,female,26-35,central,electronics,online,snapdeal,5,"amazing experience, highly recommend!",positive,61,no,no,0,0,amazing experience highly recommend,1,>48h
27,female,18-25,west,beauty,online,croma,3,average experience overall.,neutral,44,yes,no,1,0,average experience overall,0,24-48h
28,other,46-60,north,groceries,online,amazon,1,product stopped working after few days.,negative,32,yes,yes,1,1,product stopped working after few days,-1,24-48h
29,female,36-45,east,groceries,online,paytm mall,3,works fine but could be better.,neutral,52,no,no,0,0,works fine but could be better,0,>48h
30,female,36-45,north,sports,online,facebook marketplace,4,fast delivery and great packaging.,positive,57,no,no,0,0,fast delivery and great packaging,1,>48h
31,female,36-45,north,home & kitchen,online,shopclues,4,great value for money.,positive,36,yes,no,1,0,great value for money,1,24-48h
32,male,46-60,west,travel,online,ajio,4,"amazing experience, highly recommend!",positive,68,no,no,0,0,amazing experience highly recommend,1,>48h
33,male,60+,south,home & kitchen,online,paytm mall,4,fast delivery and great packaging.,positive,64,no,no,0,0,fast delivery and great packaging,1,>48h
34,female,36-45,west,books,online,facebook marketplace,2,product stopped working after few days.,negative,26,yes,yes,1,1,product stopped working after few days,-1,24-48h
35,other,18-25,north,books,online,snapdeal,3,works fine but could be better.,neutral,34,yes,no,1,0,works fine but could be better,0,24-48h
36,male,26-35,north,groceries,online,meesho,3,neutral about the quality.,neutral,15,yes,no,1,0,neutral about the quality,0,12-24h
37,other,36-45,west,fashion,online,ajio,5,"amazing experience, highly recommend!",positive,15,yes,no,1,0,amazing experience highly recommend,1,12-24h
38,other,18-25,south,travel,online,bigbasket,2,customer service was unhelpful.,negative,18,yes,yes,1,1,customer service was unhelpful,-1,12-24h
39,male,26-35,north,sports,online,ajio,2,not worth the price.,negative,2,yes,yes,1,1,not worth the price,-1,<12h
40,female,26-35,west,home & kitchen,online,croma,2,product stopped working after few days.,negative,53,no,yes,0,1,product stopped working after few days,-1,>48h
41,male,60+,west,fashion,online,croma,2,not worth the price.,negative,9,yes,yes,1,1,not worth the price,-1,<12h
42,other,36-45,central,groceries,online,ajio,4,"amazing experience, highly recommend!",positive,18,yes,no,1,0,amazing experience highly recommend,1,12-24h
43,other,60+,east,sports,online,reliance digital,3,works fine but could be better.,neutral,31,yes,no,1,0,works fine but could be better,0,24-48h
44,female,36-45,east,beauty,online,lenskart,4,fast delivery and great packaging.,positive,24,yes,no,1,0,fast delivery and great packaging,1,12-24h
45,male,36-45,west,electronics,online,tata cliq,1,not worth the price.,negative,57,no,yes,0,1,not worth the price,-1,>48h
46,other,60+,west,books,online,bigbasket,4,excellent product! exceeded expectations.,positive,44,yes,no,1,0,excellent product exceeded expectations,1,24-48h
47,female,46-60,west,home & kitchen,online,bigbasket,5,excellent product! exceeded expectations.,positive,6,yes,no,1,0,excellent product exceeded expectations,1,<12h
48,other,26-35,south,fashion,online,myntra,5,"amazing experience, highly recommend!",positive,32,yes,no,1,0,amazing experience highly recommend,1,24-48h
